,City,County,State,Full Address,Latitude,Longitude,Country,FIPS,,,,,,,NUMBER OF ARTICLES
"Pathfinder, The: Lewis-Clark State College",Lewiston,Nez Perce,ID,Lewiston Nez Perce ID ,46.4040971,-117.0019991,USA,,Monthly,No,College/University Newspaper,English,8/28/2018,Full Text,0
Post Register,Idaho Falls,BONNEVILLE,ID,Idaho Falls BONNEVILLE ID ,43.4926602,-112.0407506,USA,,Daily,Yes,Newspaper: Image Edition,English,1/1/2019,Full Text,0
Post Register,Idaho Falls,BONNEVILLE,ID,Idaho Falls BONNEVILLE ID ,43.4926602,-112.0407506,USA,,Daily,Yes,Newspaper,English,1/1/1992,Full Text,4
"Preston Citizen, The",Preston,FRANKLIN,ID,Preston FRANKLIN ID ,42.0963133,-111.8766173,USA,,Weekly,Yes,Newspaper,English,8/9/2011,Full Text,0
Priest River Times,Priest River,Bonner,ID,Priest River Bonner ID ,48.1807415,-116.909365,USA,,Weekly,Yes,Newspaper,English,5/25/2006,Full Text,0
Scroll: Brigham Young University - Idaho,Rexburg,Madison,ID,Rexburg Madison ID ,43.8231096,-111.7924237,USA,,Weekly,No,College/University Newspaper,English,4/5/2013,Full Text,0
"Shelley Pioneer, The",Shelley,Bingham,ID,Shelley Bingham ID ,43.3813038,-112.1233056,USA,,Weekly,Yes,Newspaper,English,8/29/2012,Full Text,0
Shoshone News-Press,Kellogg,SHOSHONE,ID,Kellogg SHOSHONE ID ,47.5382565,-116.1193327,USA,,Weekly,Yes,Newspaper,English,3/30/2007,Full Text,0
Standard-Journal,Rexburg,MADISON,ID,Rexburg MADISON ID ,43.8231096,-111.7924237,USA,,Weekly,Yes,Newspaper,English,12/18/2014,Full Text,0
"Star-News, The",McCall,Valley,ID,McCall Valley ID ,44.906183,-116.1171311,USA,,Weekly,Yes,Newspaper,English,10/20/2022,Full Text,0
Teton Valley News,Driggs,TETON,ID,Driggs TETON ID ,43.7231216,-111.1110708,USA,,Weekly,Yes,Newspaper,English,11/15/2018,Full Text,0
"Times-News, The",Twin Falls,Twin Falls,ID,Twin Falls Twin Falls ID ,42.5558381,-114.4700518,USA,,Daily,No,Newspaper: Image Edition,English,5/1/2025,Full Text,0
"Times-News, The",Twin Falls,Twin Falls,ID,Twin Falls Twin Falls ID ,42.5558381,-114.4700518,USA,,Daily,No,Newspaper,English,6/9/1999,Full Text,1
Twin Falls Examiner,Twin Falls,Twin Falls,ID,Twin Falls Twin Falls ID ,42.5558381,-114.4700518,USA,,Bi-Weekly,Yes,Web-Only Source,English,06/17/2009,Full Text,0
